customer_id,region,customer_segment
20001,Central,Small Business
20002,West,Consumer
20003,North,Small Business
20004,South,Consumer
20005,West,Small Business
20006,East,Consumer
20007,West,Consumer
20008,Central,Consumer
20009,Central,Consumer
20010,East,Small Business
20011,Central,Consumer
20012,Central,Corporate
20013,East,Consumer
20014,North,Consumer
20015,Central,Consumer
20016,South,Consumer
20017,North,Consumer
20018,North,Consumer
20019,South,Consumer
20020,East,Consumer
20021,Central,Consumer
20022,Central,Consumer
20023,West,Small Business
20024,Central,Consumer
20025,East,Consumer
20026,Central,Corporate
20027,South,Small Business
20028,Central,Consumer
20029,Central,Consumer
20030,South,Consumer
20031,East,Consumer
20032,North,Consumer
20033,East,Consumer
20034,Central,Corporate
20035,Central,Corporate
20036,West,Consumer
20037,West,Small Business
20038,Central,Consumer
20039,Central,Small Business
20040,West,Corporate
20041,Central,Small Business
20042,South,Small Business
20043,East,Small Business
20044,South,Consumer
20045,East,Consumer
20046,Central,Small Business
20047,North,Consumer
20048,Central,Consumer
20049,North,Small Business
20050,West,Consumer
20051,East,Consumer
20052,Central,Consumer
20053,North,Consumer
20054,North,Small Business
20055,Central,Consumer
20056,Central,Small Business
20057,West,Consumer
20058,East,Consumer
20059,Central,Consumer
20060,East,Small Business
20061,West,Consumer
20062,Central,Consumer
20063,South,Consumer
20064,North,Consumer
20065,Central,Small Business
20066,Central,Consumer
20067,South,Consumer
20068,Central,Consumer
20069,West,Consumer
20070,West,Consumer
20071,South,Consumer
20072,South,Corporate
20073,South,Consumer
20074,East,Consumer
20075,South,Consumer
20076,Central,Consumer
20077,West,Consumer
20078,Central,Consumer
20079,East,Consumer
20080,North,Consumer
20081,Central,Consumer
20082,Central,Consumer
20083,Central,Consumer
20084,South,Corporate
20085,Central,Consumer
20086,East,Consumer
20087,South,Corporate
20088,West,Corporate
20089,Central,Small Business
20090,North,Consumer
20091,North,Small Business
20092,West,Corporate
20093,South,Consumer
20094,Central,Consumer
20095,West,Consumer
20096,West,Consumer
20097,North,Consumer
20098,East,Consumer
20099,Central,Small Business
20100,South,Consumer
20101,West,Consumer
20102,West,Consumer
20103,South,Consumer
20104,Central,Corporate
20105,Central,Corporate
20106,West,Corporate
20107,North,Consumer
20108,North,Consumer
20109,North,Consumer
20110,Central,Corporate
20111,South,Small Business
20112,North,Consumer
20113,Central,Consumer
20114,East,Consumer
20115,South,Consumer
20116,Central,Consumer
20117,West,Consumer
20118,West,Small Business
20119,Central,Consumer
20120,East,Consumer
20121,South,Consumer
20122,Central,Consumer
20123,West,Small Business
20124,South,Consumer
20125,East,Consumer
20126,East,Corporate
20127,South,Consumer
20128,South,Small Business
20129,Central,Consumer
20130,West,Consumer
20131,West,Consumer
20132,East,Small Business
20133,Central,Consumer
20134,South,Consumer
20135,East,Small Business
20136,West,Small Business
20137,Central,Small Business
20138,Central,Consumer
20139,East,Consumer
20140,South,Consumer
20141,West,Consumer
20142,Central,Corporate
20143,South,Consumer
20144,East,Consumer
20145,South,Consumer
20146,North,Corporate
20147,Central,Consumer
20148,Central,Corporate
20149,Central,Corporate
20150,North,Consumer
