order_id,order_date,customer_id,product_id,quantity,discount_pct,base_price,unit_price,revenue,region,customer_segment,year,month,month_name
500001,2024-11-09,21813,6,4,0.0,183.47,181.83,727.32,Central,Small Business,2024,11,Nov
500002,2024-01-06,21559,21,3,0.05,301.42,318.02,906.36,Central,Consumer,2024,1,Jan
500003,2025-01-08,23573,28,2,0.0,297.74,308.67,617.34,Central,Consumer,2025,1,Jan
500004,2025-02-11,21831,21,2,0.1,301.42,302.58,544.64,Central,Small Business,2025,2,Feb
500005,2025-01-18,23248,5,1,0.05,310.91,327.72,311.33,South,Consumer,2025,1,Jan
500006,2025-10-30,23956,5,1,0.05,310.91,321.39,305.32,South,Consumer,2025,10,Oct
500007,2024-12-26,23614,13,1,0.15,509.47,548.69,466.39,North,Consumer,2024,12,Dec
500008,2025-09-11,23301,10,4,0.15,452.53,431.62,1467.51,Central,Small Business,2025,9,Sep
500009,2025-01-29,20571,7,1,0.0,208.23,203.47,203.47,North,Corporate,2025,1,Jan
500010,2024-02-26,21731,15,3,0.05,203.7,207.73,592.03,Central,Consumer,2024,2,Feb
500011,2024-02-04,21459,15,4,0.0,203.7,216.99,867.96,East,Consumer,2024,2,Feb
500012,2024-08-15,22994,28,2,0.05,297.74,307.22,583.72,Central,Consumer,2024,8,Aug
500013,2025-07-26,20448,24,1,0.15,471.09,476.18,404.75,Central,Consumer,2025,7,Jul
500014,2024-12-15,20517,5,3,0.05,310.91,300.56,856.6,West,Corporate,2024,12,Dec
500015,2024-09-24,22291,18,3,0.0,376.89,389.14,1167.42,Central,Consumer,2024,9,Sep
500016,2024-12-22,21290,3,1,0.15,379.36,390.4,331.84,North,Consumer,2024,12,Dec
500017,2025-11-20,23245,30,2,0.15,300.75,317.9,540.43,Central,Consumer,2025,11,Nov
500018,2024-05-15,23732,4,4,0.15,453.41,449.39,1527.93,Central,Consumer,2024,5,May
500019,2025-03-12,20010,29,2,0.1,538.73,506.1,910.98,East,Small Business,2025,3,Mar
500020,2025-05-13,23916,8,2,0.0,289.09,272.15,544.3,West,Small Business,2025,5,May
500021,2025-08-27,22422,30,2,0.05,300.75,315.55,599.54,North,Small Business,2025,8,Aug
500022,2024-12-20,23442,19,4,0.05,495.95,465.11,1767.42,East,Consumer,2024,12,Dec
500023,2025-11-14,23177,17,4,0.15,364.39,367.82,1250.59,Central,Consumer,2025,11,Nov
500024,2025-09-20,22579,1,3,0.1,118.77,117.45,317.12,Central,Small Business,2025,9,Sep
500025,2024-03-13,22404,22,1,0.0,356.25,345.26,345.26,North,Consumer,2024,3,Mar
500026,2024-07-02,23247,2,3,0.1,177.67,186.84,504.47,West,Consumer,2024,7,Jul
500027,2024-06-30,20255,16,1,0.0,113.27,105.93,105.93,West,Consumer,2024,6,Jun
500028,2025-10-26,20569,27,4,0.0,282.82,285.98,1143.92,Central,Consumer,2025,10,Oct
500029,2024-03-27,21290,23,4,0.15,430.62,421.96,1434.66,North,Consumer,2024,3,Mar
500030,2025-08-26,21612,4,1,0.0,453.41,423.3,423.3,Central,Corporate,2025,8,Aug
500031,2025-12-08,22636,5,2,0.0,310.91,323.79,647.58,East,Small Business,2025,12,Dec
500032,2024-10-29,22389,10,1,0.0,452.53,444.62,444.62,South,Consumer,2024,10,Oct
500033,2024-04-13,23578,22,3,0.05,356.25,343.04,977.66,West,Consumer,2024,4,Apr
500034,2025-08-14,22380,11,3,0.15,526.43,549.34,1400.82,South,Small Business,2025,8,Aug
500035,2024-11-13,21688,19,3,0.05,495.95,469.63,1338.45,Central,Consumer,2024,11,Nov
500036,2025-04-08,21090,24,4,0.05,471.09,503.98,1915.12,Central,Consumer,2025,4,Apr
500037,2024-08-04,23495,22,4,0.1,356.25,341.6,1229.76,Central,Consumer,2024,8,Aug
500038,2024-11-27,22526,28,1,0.0,297.74,296.37,296.37,Central,Consumer,2024,11,Nov
500039,2024-10-13,21964,26,3,0.05,173.18,167.87,478.43,East,Small Business,2024,10,Oct
500040,2025-01-08,21137,24,1,0.1,471.09,480.49,432.44,West,Small Business,2025,1,Jan
500041,2024-01-12,22141,8,4,0.15,289.09,308.09,1047.51,North,Consumer,2024,1,Jan
500042,2025-02-05,23011,16,2,0.0,113.27,109.64,219.28,Central,Consumer,2025,2,Feb
