product_id,product_name,category,base_price
1,Product 01,Electronics,118.77
2,Product 02,Electronics,177.67
3,Product 03,Electronics,379.36
4,Product 04,Electronics,453.41
5,Product 05,Electronics,310.91
6,Product 06,Electronics,183.47
7,Product 07,Home,208.23
8,Product 08,Home,289.09
9,Product 09,Home,308.58
10,Product 10,Home,452.53
11,Product 11,Home,526.43
12,Product 12,Home,119.8
13,Product 13,Sports,509.47
14,Product 14,Sports,323.49
15,Product 15,Sports,203.7
16,Product 16,Sports,113.27
17,Product 17,Sports,364.39
18,Product 18,Sports,376.89
19,Product 19,Beauty,495.95
20,Product 20,Beauty,187.69
21,Product 21,Beauty,301.42
22,Product 22,Beauty,356.25
23,Product 23,Beauty,430.62
24,Product 24,Beauty,471.09
25,Product 25,Books,408.11
26,Product 26,Books,173.18
27,Product 27,Books,282.82
28,Product 28,Books,297.74
29,Product 29,Books,538.73
30,Product 30,Books,300.75
